symbol,entry_time,entry,stop,target,quantity,risk_per_share,risk_pct_of_entry,planned_risk,gross_pnl,net_pnl,r_multiple,reason
WIPRO,2026-08-17 13:40:00+05:30,182.04,181.76,182.6,54,0.28000000000000114,0.1538123489343008,15.120000000000061,-15.12000000000006,-35.380537132536055,-0.9999999999999999,STOP
AXISBANK,2026-08-25 14:30:00+05:30,1234.5,1232.6,1238.3000000000002,8,1.900000000000091,0.15390846496558047,15.200000000000728,-15.200000000000728,-35.55500523022473,-1.0,STOP
WIPRO,2026-08-04 13:25:00+05:30,188.32,188.03,188.9,53,0.28999999999999204,0.15399320305861938,15.369999999999578,-15.369999999999578,-35.94132418622858,-1.0,STOP
ICICIBANK,2026-08-21 13:10:00+05:30,1418.7,1416.5,1423.1,7,2.2000000000000455,0.15507154437161103,15.400000000000318,-4.900000000000318,-25.38001023254232,-0.3181818181818323,SESSION_CLOSE
ITC,2026-08-06 12:00:00+05:30,285.5,285.05,286.4,35,0.44999999999998863,0.1576182136602412,15.749999999999602,-15.749999999999602,-36.3446953292146,-1.0,STOP
LT,2026-08-10 11:55:00+05:30,4059.0,4052.6,4071.8,2,6.400000000000091,0.15767430401576965,12.800000000000182,25.600000000000364,8.824853001712363,2.0,TARGET
INFY,2026-08-28 12:50:00+05:30,1141.3,1139.5,1144.9,8,1.7999999999999545,0.15771488653289711,14.399999999999636,-14.399999999999636,-33.21788396915164,-1.0,STOP
SUNPHARMA,2026-08-20 12:50:00+05:30,1901.0,1898.0,1907.0,5,3.0,0.15781167806417673,15.0,7.000000000000455,-12.615040342059544,0.466666666666697,SESSION_CLOSE
RELIANCE,2026-08-21 11:00:00+05:30,1313.4,1311.3,1317.6000000000004,7,2.1000000000001364,0.15989036089539638,14.700000000000955,-14.700000000000957,-33.648323977422955,-1.0000000000000002,STOP
TITAN,2026-08-25 13:55:00+05:30,5076.2,5068.0,5092.599999999999,1,8.199999999999818,0.16153815846498992,8.199999999999818,16.399999999999636,5.910022668015639,2.0,TARGET
BAJFINANCE,2026-08-13 13:45:00+05:30,1089.9,1088.1,1093.5000000000005,9,1.800000000000182,0.16515276630885234,16.200000000001637,-16.200000000001637,-36.41586154236164,-1.0,STOP
SBIN,2026-08-07 10:10:00+05:30,1089.5,1087.7,1093.1,9,1.7999999999999545,0.1652134006424924,16.19999999999959,-16.19999999999959,-36.40843541066359,-1.0,STOP
ADANIENT,2026-08-24 09:30:00+05:30,3011.7,3006.7,3021.7,3,5.0,0.16601919181857425,15.0,-15.0,-33.62061291633599,-1.0,STOP
BAJFINANCE,2026-08-25 12:00:00+05:30,1080.8,1079.0,1084.4,9,1.7999999999999545,0.16654330125832295,16.19999999999959,-16.19999999999959,-36.24691704627559,-1.0,STOP
HDFCBANK,2026-08-19 14:00:00+05:30,720.35,719.15,722.7500000000001,13,1.2000000000000455,0.16658568751302083,15.600000000000591,3.899999999999409,-15.42177970294059,0.24999999999995262,SESSION_CLOSE
HCLTECH,2026-08-24 12:30:00+05:30,1320.2,1318.0,1324.6,7,2.2000000000000455,0.16664141796697815,15.400000000000318,-15.400000000000318,-34.44571495593232,-1.0,STOP
LT,2026-08-21 13:10:00+05:30,4077.6,4070.8,4091.2,2,6.799999999999727,0.1667647635864167,13.599999999999454,27.19999999999891,10.34629005603091,2.0,TARGET
TITAN,2026-08-19 10:15:00+05:30,5071.0,5062.5,5088.0,1,8.5,0.16761979885624137,8.5,-8.5,-18.95082965853,-1.0,STOP
ITC,2026-08-20 12:30:00+05:30,267.5,267.05,268.4,37,0.44999999999998863,0.1682242990654163,16.64999999999958,33.29999999999916,12.84528601280516,2.0,TARGET
ICICIBANK,2026-08-31 11:15:00+05:30,1424.2,1421.8,1429.0000000000002,7,2.400000000000091,0.16851565791322082,16.800000000000637,33.60000000000127,12.996627238169271,2.0,TARGET
HINDUNILVR,2026-08-20 12:55:00+05:30,2034.0,2030.5,2041.0,4,3.5,0.1720747295968535,14.0,28.0,11.184982966,2.0,TARGET
KOTAKBANK,2026-08-21 11:35:00+05:30,403.05,402.35,404.45,24,0.6999999999999886,0.17367572261505734,16.799999999999727,-16.799999999999727,-36.73484022652773,-1.0,STOP
