symbol,timestamp,reason
BAJFINANCE,2026-08-25 14:50:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-25 14:55:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-25 15:00:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-25 15:05:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-25 15:10:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-27 09:40:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-27 10:20:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-27 11:30:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-27 11:50:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-27 12:00:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-27 12:10:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-27 12:20:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-27 12:30:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-27 12:35:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-27 12:45:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-27 12:50:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-27 12:55:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-27 13:10:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-27 14:25:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-27 14:35:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-27 14:40:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-27 14:45:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-27 14:50:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-27 15:05:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-28 10:30:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-28 11:10:00+05:30,DAILY_LOSS_LIMIT
WIPRO,2026-08-28 11:15:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-28 11:45:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-28 12:05:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-28 12:10:00+05:30,DAILY_LOSS_LIMIT
